id;title;citations;year;authors;journal;abstract;keywords
1;Maritime Digital Twin architecture: A concept for holistic Digital Twin application for shipbuilding and shipping;26;2021;Jan-Erik Giering, Alexander Dyck; Automatisierungstechnik;Digital Twins (DTs) play an important role in current digitalization trends across industries. As maritime markets are particularly affected by recent global tendencies such as increasing delivery costs or political pressure for decarbonization, DT solutions could provide important support for shipbuilding and shipping companies to master recent and upcoming challenges. This paper provides a brief insight into the current state of the maritime industry and shows possible use-cases for DT Ship applications throughout the entire product lifecycle. To further advance the general understanding of DTs and their implementation, the concept of a Maritime Digital Twin Architecture (MDTA) is proposed to structure practical DT features.;"Maritime Digital Twin Architecture; shipping; shipbuilding; digitalization; digital twin; product lifecycle management"
2;Real-time digital twin for ship operation in waves;19;2022;Jae-Hoon Lee, Yoon-Seo Nam, Yonghwan Kim, Yuming Liu b, Jaehak Lee, Heesuk Yang;Ocean Engineering;This paper introduces a real-time digital twin for ship operations in seaways. The concept of the digital twin is becoming popular, and it is adopted for ship operation systems in this study. In particular, this paper introduces a new and innovative concept of the digital twin to predict ocean waves and hydrodynamic performances, such as seakeeping and maneuvering, which enables the risk and optimum route to be forecast in real time. An essential element in the realization of such a real-time digital twin is the real-time prediction of ocean waves. Hence, a sophisticated algorithm for wave reconstruction using measured wave-radar images is developed, which is extended to predicting the future evolution of a three-dimensional wave field in front of a ship within a time window of the order of 10 min. As another essential element, an analysis program to solve the coupled seakeeping-maneuvering problem is developed. This analysis can also be used in real time. By combining this with wave prediction software, the future occurrence of ocean waves and ship responses can be predicted. By extending this approach, the risk and performance of ships in various ocean environments can be predicted. In this paper, concepts, approaches, and examples are introduced.;"Digital twin; Ship operation in waves; Real-time prediction; Wave prediction; Seakeeping-maneuvering coupled simulation"
3;Real-time digital twin of research vessel for remote monitoring;16;2021;"Major, Pierre Yann; Li, Guoyuan; Zhang, Houxiang; Hildre, Hans Petter";Proceedings of 35th European Council for Modelling and Simulation;Real-time digital twins of ships in operation find many applications such as predictive maintenance, climbing the ladders of ship autonomy, and offshore operational excellence. The literature describes a focus on digital twinning of individual equipment such as navigation, propulsion, engine and power system, or crane. Yet, digital twinning and virtual prototyping for offshore operations are in their infancy and the onboard digitisation hardware and the telecommunication infrastructure are becoming accessible and affordable. Previous work has failed to address the need for building a holistic model and thus contextualising the equipment with the state of the whole vessel. A prototype of an online digital twin of a research vessel is proposed, its architecture described and its suitability for virtual prototyping demonstrated in a remote control centre. The study shows a viable proof of concept for remote monitoring and crew assistance in nominal and contingency response for offshore crane operations.;"Virtual Prototyping; Digital Twin; Remote Monitoring"
4;Digital Twin in the Maritime Domain: A Review and Emerging Trends;6;2023;Nuwan Sri Madusanka,Yijie Fan,Shaolong Yang and Xianbo Xiang;J. Mar. Sci. Eng.;This paper highlights the development of Digital Twin (DT) technology and its admittance to a variety of applications within the maritime domain in general and surface ships in particular. The conceptual theory behind the evolution of DT is highlighted along with the development of the technology and current progress in practical applications with an exploration of the key milestones in the extension from the electrification of the shipping sector towards the realization of a definitive DT-based system. Existing DT-based applications within the maritime sector are surveyed along with the comprehension of ongoing research work. The development strategy for a formidable DT architecture is discussed, culminating in a proposal of a four-layered DT framework. Considering the importance of DT, an extensive and methodical literature survey has also been carried out, along with a comprehensive scientometric analysis to unveil the methodical footprint of DT in the marine sector, thus leading the way for future work on the design, development and operation of surface vessels using DT applications.;"digital twin; digitalization; smart shipping; autonomous surface vehicles; citespace; scientometric analysis"
5;From digital twin to maritime data space: Transparent ownership and use of ship information;16;;Ørnulf Jan Rødseth, Arne J. Berre;Proc. 13th Int. Symp. Integr. Ship’s Inf. Syst. Mar. Traffic Eng. Conf.(ISIS-MTE);"The concept of the digital twin is gaining momentum in the maritime industry, but it brings with it new questions about data ownership and governance. Given the wide range of different data that can be stored in the digital twin, it is not clear if all these data can be stored in the same data base or even use the same governance model. Within the Industrie 4.0 framework, a concept called ""Industrial Data Space"" (IDS) has been developed to cater to these problems for land-based industry. With the advent of ""Shipping 4.0"" as the Industrie 4.0 of the seas, we propose a similar concept as IDS for the maritime world, called ""Maritime Data Space"" (MDS). This will be an extension of IDS but will be adapted to the specific nature of shipping and, hence, a modified digital trust framework, lower connectivity for ships at sea and the highly heterogenous control and physical systems architecture on ships. However, MDS will still be a part of the IDS ecosystem and gain benefit from the further developments in IDS and its applications.";
6;Data-driven ship digital twin for estimating the speed loss caused by the marine fouling;169;2019;Andrea Coraddu, Luca Oneto, Francesco Baldi, Francesca Cipollini, Mehmet Atlar, Stefano Savio;Ocean Engineering;Shipping is responsible for approximately the 90% of world trade leading to significant impacts on the environment. As a consequence, a crucial issue for the maritime industry is to develop technologies able to increase the ship efficiency, by reducing fuel consumption and unnecessary maintenance operations. For example, the marine fouling phenomenon has a deep impact, since to prevent or reduce its growth which affects the ship consumption, costly drydockings for cleaning the hull and the propeller are needed and must be scheduled based on a speed loss estimation. In this work a data driven Digital Twin of the ship is built, leveraging on the large amount of information collected from the on-board sensors, and is used for estimating the speed loss due to marine fouling. A thorough comparison between the proposed method and ISO 19030, which is the de-facto standard for dealing with this task, is carried out on real-world data coming from two Handymax chemical/product tankers. Results clearly show the effectiveness of the proposal and its better speedloss prediction accuracy with respect to the ISO 19030, thus allowing reducing the fuel consumption due to fouling.;"Hull and propeller maintenance; Fouling; Condition based maintenance; ISO 19030; Digital twin; Data-Driven Models; Deep learning"
7;Challenges when creating a cohesive digital twin ship: a data modelling perspective;57;;Ícaro Aragão Fonseca, Henrique Murilo Gaspar;Schiffstechnik;A digital twin is a digital asset that simulates the behaviours of a physical counterpart. Digital twin ship literature identifies that the concept is already being applied to specialised problems, but no clear guide exists for creating broader interdisciplinary digital twins. Relevant dimensions of product data modelling and previous attempts at standardizing ship data elucidate the requirements for effective data modelling in a digital twin context. Such requirements are placed in a broader perspective for digital twin implementation that encompasses challenges and directions for future development of services, networks, and software. Finally, an open standardization for digital twin data is proposed based on lessons extracted from this panorama, proposing its application to a research vessel.;"digital twin; digital thread;‌simulation‌;product data modelling;data standard;open source;internet of things;digitalization‌"
8;The Digital Twin throughout the Lifecycle;20;2018;Jan Van Os;SNAME Maritime Convention, Providence, Rhode Island, USA, October 2018;This paper presents the future possibilities of the digital twin in the Maritime Industry and the solutions to optimize the use throughout the lifecycle of the vessel. Especially in relation to Autonomous vessels the Digital Twin will play a crucial role in optimal performance of a vessel. The Maritime industry is fragmented and the original builder of the Digital Twin, the shipyard, is in most cases not the owner who is operating the vessel for a period of 20 to 30 years. Also the class societies are part of this value chain and should adapt their approval process and inspection process to serve the Digital Twin. A collaboration between the parties involved is absolute necessary and will introduce a new view on the Maritime industry and new business models for the shipyards.;platform, collaboration, ship owner, maritime industry, digital twin, value chain, marine industry, operator, class society, shipbuilding
9;Digital twins for the maritime sector;11;2020;"Mikael Lind, Hanane Becha, Richard T. Watson, Norbert Kouwenhoven,
Phanthian Zuesongdham,  Ulrich Baldauf";Smart Maritime Network;"A digital twin is a dynamic digital representation of an object or a system. It uniquely describes in a
binary format a person, product, or environment’s key characteristics and properties and can be
rendered in one or more physical or digital spaces. ";
10;Digital Twin Modelling of Ship Power and Propulsion Systems: Application of the Open Simulation Platform;46;2020;"Florian Perabo; Daeseong Park; Mehdi Karbalaye Zadeh; Øyvind Smogeli; Levi Jamt";2020 IEEE 29th International Symposium on Industrial Electronics (ISIE);Today, modelling and simulation technologies are extensively used in the maritime industry. As a reaction to changing market demands and environmental challenges, maritime systems are becoming more complex and coupled. Digital approaches such as digital twins and co-simulation are coping these challenges and offer new opportunities throughout the lifecycle of a vessel. In this work, we present the digital twin modelling and the co-simulation of a typical AC ship power and propulsion system including the power stage, relevant local controllers and a high-level controller. The power and control components are modelled individually and exported as Functional Mock-up Units (FMUs). To perform a co-simulation of the ship electric power system, the Open Simulation Platform (OSP) is utilized. This co-simulation environment connects the individual FMUs and routes the data between the sub-simulators of the digital twin. A typical test scenario is carried out to demonstrate the correct functioning of the ship power and propulsion system as well as the OSP environment.;
